2016 Rank,2015 Rank,2014 Rank,2012 Rank,2010 Rank,City,Country,Index 2010
1,1,1,1,1,Vienna,Austria,108.6
2,2,2,2,2,Zürich,Switzerland,108
3,3,3,3,4,Auckland,New Zealand,107.4
4,4,4,4,7,Munich,Germany,107
5,5,5,5,4,Vancouver,Canada,107.4
6,6,6,6,6,Düsseldorf,Germany,107.2
7,7,7,7,7,Frankfurt,Germany,107
8,8,8,8,3,Geneva,Switzerland,107.9
9,9,9,9,11,Copenhagen,Denmark,106.2
10,10,10,10,10,Sydney,Australia,106.3
11,11,11,12,13,Amsterdam,Netherlands,105.7
12,12,12,13,12,Wellington,New Zealand,105.9
13,14,NA,16,17,Berlin,Germany,105
14,13,10,10,9,Bern,Switzerland,106.5
15,15,15,15,16,Toronto,Canada,105.3
15,16,NA,17,18,Melbourne,Australia,104.8
17,16,14,14,14,Ottawa,Canada,105.5
18,16,NA,17,23,Hamburg,Germany,104.1
19,19,NA,19,19,Luxembourg,Luxembourg,104.6
19,19,NA,19,20,Stockholm,Sweden,104.5
21,22,NA,22,15,Brussels,Belgium,105.4
21,22,NA,21,21,Perth,Australia,104.2
23,24,23,23,21,Montreal,Canada,104.2
24,21,NA,27,30,Stuttgart,Germany,103.3
25,25,NA,24,24,Nuremberg,Germany,103.9
26,26,NA,25,28,Singapore,Singapore,103.5
27,27,NA,29,32,Adelaide,Australia,103
28,27,27,29,32,San Francisco,United States,103
28,30,NA,26,26,Canberra,Australia,103.6
30,31,NA,32,35,Helsinki,Finland,102.6
30,31,NA,32,24,Oslo,Norway,103.9
32,33,NA,32,28,Calgary,Canada,103.5
33,34,34,35,26,Dublin,Ireland,103.6
34,34,NA,35,37,Boston,United States,102.2
35,36,NA,28,31,Honolulu,United States,103.1
36,37,NA,37,36,Brisbane,Australia,102.4
37,27,NA,29,34,Paris,France,102.9
38,39,NA,39,38,Lyon,France,101.9
39,38,NA,40,44,Barcelona,Spain,100.6
39,40,NA,38,39,London,United Kingdom,101.6
41,41,NA,41,41,Milan,Italy,100.8
42,41,43,44,45,Lisbon,Portugal,100.3
43,43,NA,42,45,Chicago,United States,100.3
44,44,NA,44,49,New York City,United States,100
44,44,NA,44,40,Tokyo,Japan,101.4
46,NA,NA,NA,NA,Edinburgh,United Kingdom,NA
46,47,NA,48,41,Kobe,Japan,100.8
46,44,NA,44,50,Seattle,United States,99.8
49,48,NA,NA,NA,Los Angeles,United States,NA
49,48,NA,49,41,Yokohama,Japan,100.8
51,50,NA,43,45,"Washington, D.C.",United States,100.3
